"Artist","Rolling_Stones_Rank","RS_Rank_Year","Spotify_Rank","Spotify_Rank_Year","Change_in_Rank","Popularity","Followers","Period_Active","Release-year of first charted record","Total certified units (US Million)","Claimed sales (US Million)","Grouped_Genre","Valence","Danceability","Speechiness"
"AC/DC",72,2010,11,2023,61,79,27776214,"1973 - 2023","1975","131.1",200,"Hard Rock/Metal",0.48591316872428,0.460654320987654,0.0709242798353909
"Aerosmith",59,2010,28,2023,31,74,13975850,"1970 - 2023","1973","105.2",150,"Classic Rock",NA,NA,NA
"Al Green",66,2010,58,2023,8,65,1896030,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"Aretha Franklin",9,2010,42,2023,-33,70,3267873,"1956 - 2018","1961","26.8",75,"Classic Rock",NA,NA,NA
"Beastie Boys",77,2010,50,2023,27,67,2686812,"NA",NA,NA,NA,"HipHop_R&B_Rap",NA,NA,NA
"Black Sabbath",85,2010,31,2023,54,72,7466123,"NA",NA,NA,NA,"Classic Rock",0.357306575963719,0.322719047619048,0.063459410430839
"Bo Diddley",20,2010,95,2023,-75,45,309062,"NA",NA,NA,NA,"Rock and Roll",0.703275280898876,0.634073033707865,0.0590084269662921
"Bob Dylan",2,2010,38,2023,-36,70,6327849,"1959 - 2023","1963","48.4",100,"Classic Rock",NA,NA,NA
"Bob Marley",11,2010,20,2023,-9,77,11834990,"1962 - 1981","1975","46.5",75,"Reggae",NA,NA,NA
"Booker T. and the MGs",93,2010,84,2023,9,55,286663,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"Bruce Springsteen",23,2010,24,2023,-1,76,6026885,"1972 - 2023","1973","128.1",150,"Other",0.476216372202591,0.43010011778563,0.0765360424028269
"Buddy Holly",13,2010,76,2023,-63,56,1274874,"NA",NA,NA,NA,"Classic Rock",0.752309941520468,0.604362573099415,0.0499479532163743
"Carl Perkins",99,2010,97,2023,2,44,173045,"NA",NA,NA,NA,"Rock and Roll",0.742462462462463,0.588213213213213,0.0773861861861862
"Carlos Santana",90,2010,46,2023,44,69,3225619,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"Chuck Berry",5,2010,37,2023,-32,71,1918432,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"Cream",67,2010,66,2023,1,62,2280776,"NA",NA,NA,NA,"Classic Rock",0.58203305785124,0.440884297520661,0.0812880165289256
"Creedence Clearwater Revival",82,2010,19,2023,63,78,6277737,"NA",NA,NA,NA,"Classic Rock",0.67953961352657,0.540512077294686,0.0568227053140097
"Curtis Mayfield",98,2010,74,2023,24,57,1072337,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"David Bowie",39,2010,23,2023,16,76,10080084,"1962 - 2016","1967","43.6",100,"Classic Rock",NA,NA,NA
"Diana Ross and the Supremes",96,2010,96,2023,0,45,78950,"NA",NA,NA,NA,"Classic Rock",0.607334951456311,0.523106796116505,0.129830097087379
"Dr. Dre",56,2010,17,2023,39,78,11012473,"NA",NA,NA,NA,"HipHop_R&B_Rap",NA,NA,NA
"Eagles",75,2010,22,2023,53,76,10243408,"1971 - 2023","1972","153.2",200,"Classic Rock",NA,NA,NA
"Elton John",49,2010,4,2023,45,83,12722160,"1962 - 2023","1970","212.5",300,"Classic Rock",NA,NA,NA
"Elvis Costello",80,2010,88,2023,-8,54,548051,"NA",NA,NA,NA,"Pop",NA,NA,NA
"Elvis Presley",3,2010,7,2023,-4,81,9026630,"1953 - 1977","1956","234.1",500,"Rock and Roll",0.579271933085502,0.468247546468401,0.103575910780669
"Eminem",83,2010,1,2023,82,90,80340870,"1996 - 2023","1999","332.85",220,"HipHop_R&B_Rap",0.54588149882904,0.712526932084309,0.288658079625293
"Eric Clapton",55,2010,39,2023,16,70,5649691,"1962 - 2023","1970","71.6",100,"Classic Rock",NA,NA,NA
"Fats Domino",25,2010,90,2023,-65,53,527772,"NA",NA,NA,NA,"Rock and Roll",0.790693862275449,0.535467065868263,0.0515730538922156
"Frank Zappa",71,2010,83,2023,-12,55,903800,"NA",NA,NA,NA,"Blues",NA,NA,NA
"Gram Parsons",87,2010,99,2023,-12,38,136739,"NA",NA,NA,NA,"Alternative Rock",NA,NA,NA
"Grateful Dead",57,2010,64,2023,-7,63,1768726,"NA",NA,NA,NA,"Other",NA,NA,NA
"Guns n’ Roses",92,2010,13,2023,79,78,30303017,"NA",NA,NA,NA,"Classic Rock",0.331825769230769,0.368694615384615,0.0976057692307692
"Hank Williams",74,2010,61,2023,13,64,1576024,"NA",NA,NA,NA,"Country",NA,NA,NA
"Howlin’ Wolf",54,2010,92,2023,-38,50,500577,"NA",NA,NA,NA,"Blues",NA,NA,NA
"Jackie Wilson",69,2010,80,2023,-11,56,439279,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"James Brown",7,2010,63,2023,-56,63,2101031,"NA",NA,NA,NA,"Funk",0.66033494047619,0.633867797619048,0.0945949404761905
"James Taylor",84,2010,55,2023,29,66,2512735,"1968 - 2023","1970","36.5",100,"Classic Rock",NA,NA,NA
"Janis Joplin",46,2010,69,2023,-23,61,3243055,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"Jay-Z",88,2010,5,2023,83,82,8800017,"1996 - 2023","1996","165.6",125,"HipHop_R&B_Rap",0.580382738095238,0.682827380952381,0.34760625
"Jerry Lee Lewis",24,2010,79,2023,-55,56,868721,"NA",NA,NA,NA,"Rock and Roll",0.716698162014976,0.521253914227366,0.0547468345813479
"Jimi Hendrix",6,2010,47,2023,-41,68,6496767,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"John Lennon",38,2010,27,2023,11,75,5806520,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"Johnny Cash",31,2010,32,2023,-1,72,6097263,"1954 - 2003","1956","32.2",90,"Country",0.655237612323492,0.603631578947368,0.108303123662816
"Joni Mitchell",62,2010,81,2023,-19,55,1366775,"NA",NA,NA,NA,"Other",NA,NA,NA
"Led Zeppelin",14,2010,25,2023,-11,75,13968286,"1968 - 1980","1969","142.9",300,"Classic Rock",NA,NA,NA
"Little Richard",8,2010,82,2023,-74,55,906993,"NA",NA,NA,NA,"Rock and Roll",0.812659751037344,0.556622406639004,0.0780203319502075
"Lynyrd Skynyrd",95,2010,41,2023,54,70,4958124,"NA",NA,NA,NA,"Classic Rock",0.606205772495755,0.466387096774194,0.0535553480475382
"Madonna",36,2010,12,2023,24,79,7429935,"1979 - 2023","1983","184.8",300,"Pop",NA,NA,NA
"Marvin Gaye",18,2010,30,2023,-12,73,5217168,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"Metallica",61,2010,8,2023,53,80,26478701,"1981 - 2023","1983","106",125,"Hard Rock/Metal",NA,NA,NA
"Michael Jackson",35,2010,6,2023,29,81,29671229,"1964 - 2009","1971","285.4",400,"HipHop_R&B_Rap",NA,NA,NA
"Muddy Waters",17,2010,85,2023,-68,54,1261673,"NA",NA,NA,NA,"Classic Rock",0.622587878787879,0.539001262626263,0.0760859848484848
"Neil Young",34,2010,71,2023,-37,59,2839093,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"Nine Inch Nails",94,2010,60,2023,34,64,2466533,"NA",NA,NA,NA,"Alternative Rock",NA,NA,NA
"Nirvana",30,2010,9,2023,21,80,18680331,"1987 - 1994","1990","57.2",75,"Alternative Rock",NA,NA,NA
"Otis Redding",21,2010,36,2023,-15,71,2177046,"NA",NA,NA,NA,"Classic Rock",NA,NA,NA
"Parliament Funkadelic",58,2010,98,2023,-40,42,26059,"NA",NA,NA,NA,"Other",NA,NA,NA
"Patti Smith",47,2010,78,2023,-31,56,1071430,"NA",NA,NA,NA,"Punk Rock",NA,NA,NA
"Phil Spector",64,2010,100,2023,-36,33,27865,"NA",NA,NA,NA,"Pop",NA,NA,NA
"Pink Floyd",51,2010,14,2023,37,78,19909658,"1965 - 2014","1967","124",250,"Classic Rock",NA,NA,NA
"Prince",27,2010,44,2023,-17,69,7123452,"1976 - 2016","1978","67.6",100,"Funk",NA,NA,NA
