"Rolling_Stones_Rank","RS_Rank_Year","Artist"
"100",2010,"Talking Heads"
"99",2010,"Carl Perkins"
"98",2010,"Curtis Mayfield"
"97",2010,"R.E.M."
"96",2010,"Diana Ross and the Supremes"
"95",2010,"Lynyrd Skynyrd"
"94",2010,"Nine Inch Nails"
"93",2010,"Booker T. and the MGs"
"92",2010,"Guns n’ Roses"
"91",2010,"Tom Petty"
"90",2010,"Carlos Santana"
"89",2010,"The Yardbirds"
"88",2010,"Jay-Z"
"87",2010,"Gram Parsons"
"86",2010,"Tupac Shakur"
"85",2010,"Black Sabbath"
"84",2010,"James Taylor"
"83",2010,"Eminem"
"82",2010,"Creedence Clearwater Revival"
"81",2010,"The Drifters"
"80",2010,"Elvis Costello"
"79",2010,"The Four Tops"
"78",2010,"The Stooges"
"77",2010,"Beastie Boys"
"76",2010,"The Shirelles"
"75",2010,"Eagles"
"74",2010,"Hank Williams"
"73",2010,"Radiohead"
"72",2010,"AC/DC"
"71",2010,"Frank Zappa"
"70",2010,"The Police"
"69",2010,"Jackie Wilson"
"68",2010,"The Temptations"
"67",2010,"Cream"
"66",2010,"Al Green"
"65",2010,"The Kinks"
"64",2010,"Phil Spector"
"63",2010,"Tina Turner"
"62",2010,"Joni Mitchell"
"61",2010,"Metallica"
"60",2010,"The Sex Pistols"
"59",2010,"Aerosmith"
"58",2010,"Parliament Funkadelic"
"57",2010,"Grateful Dead"
"56",2010,"Dr. Dre"
"55",2010,"Eric Clapton"
"54",2010,"Howlin’ Wolf"
"53",2010,"The Allman Brothers Band"
"52",2010,"Queen"
"51",2010,"Pink Floyd"
"50",2010,"The Band"
"49",2010,"Elton John"
"48",2010,"Run-DMC"
"47",2010,"Patti Smith"
"46",2010,"Janis Joplin"
"45",2010,"The Byrds"
"44",2010,"Public Enemy"
"43",2010,"Sly and the Family Stone"
"42",2010,"Van Morrison"
"41",2010,"The Doors"
"40",2010,"Simon and Garfunkel"
"39",2010,"David Bowie"
"38",2010,"John Lennon"
"37",2010,"Roy Orbison"
"36",2010,"Madonna"
"35",2010,"Michael Jackson"
"34",2010,"Neil Young"
"33",2010,"The Everly Brothers"
"32",2010,"Smokey Robinson and the Miracles"
"31",2010,"Johnny Cash"
"30",2010,"Nirvana"
"29",2010,"The Who"
"28",2010,"The Clash"
"27",2010,"Prince"
"26",2010,"The Ramones"
"25",2010,"Fats Domino"
"24",2010,"Jerry Lee Lewis"
"23",2010,"Bruce Springsteen"
"22",2010,"U2"
"21",2010,"Otis Redding"
"20",2010,"Bo Diddley"
"19",2010,"The Velvet Underground"
"18",2010,"Marvin Gaye"
"17",2010,"Muddy Waters"
"16",2010,"Sam Cooke"
"15",2010,"Stevie Wonder"
"14",2010,"Led Zeppelin"
"13",2010,"Buddy Holly"
"12",2010,"The Beach Boys"
"11",2010,"Bob Marley"
"10",2010,"Ray Charles"
"9",2010,"Aretha Franklin"
"8",2010,"Little Richard"
"7",2010,"James Brown"
"6",2010,"Jimi Hendrix"
"5",2010,"Chuck Berry"
"4",2010,"The Rolling Stones"
"3",2010,"Elvis Presley"
"2",2010,"Bob Dylan"
"1",2010,"The Beatles"
