"Rolling_Stones_Rank","RS_Rank_Year","Artist","Spotify_ID","Popularity","Followers","Genres","Spotify_Rank","Change_in_Rank","Spotify_Rank_Year"
88,2010,"Jay-Z","3nFkdlSjzX9mRTtwJOzDYB",82,8800017,"east coast hip hop, gangster rap, hip hop, pop rap, rap",5,83,2023
83,2010,"Eminem","7dGJo4pcD2V6oG8kP0tJRR",90,80340870,"detroit hip hop, hip hop, rap",1,82,2023
92,2010,"Guns n’ Roses","3qm84nBOXUEQ2vnTfUTTFC",78,30303017,"glam metal, hard rock, rock",13,79,2023
86,2010,"Tupac Shakur","1ZwdS5xdxEREPySFridCfh",78,16959142,"g funk, gangster rap, hip hop, rap, west coast rap",15,71,2023
97,2010,"R.E.M.","4KWTAlx2RvbpseOGMEmROg",72,4321283,"alternative rock, athens indie, permanent wave, rock",33,64,2023
73,2010,"Radiohead","4Z8W4fKeB5YxbusRsdQVPb",80,9204428,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",10,63,2023
82,2010,"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd",78,6277737,"album rock, classic rock, country rock, rock, southern rock, swamp rock",19,63,2023
72,2010,"AC/DC","711MCceyCBcFnzjGY4Q7Un",79,27776214,"australian rock, hard rock, rock",11,61,2023
85,2010,"Black Sabbath","5M52tdBnJaKSvOpJGz8mfZ",72,7466123,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal",31,54,2023
95,2010,"Lynyrd Skynyrd","4MVyzYMgTwdP7Z49wAZHx0",70,4958124,"album rock, classic rock, hard rock, rock, southern rock",41,54,2023
61,2010,"Metallica","2ye2Wgw4gimLv2eAKyk1NB",80,26478701,"hard rock, metal, old school thrash, rock, thrash metal",8,53,2023
75,2010,"Eagles","0ECwFtbIWEVNwjlrfc6xoL",76,10243408,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock",22,53,2023
52,2010,"Queen","1dfeR4HaWDbWqFHLkxsg1d",84,49027734,"classic rock, glam rock, rock",2,50,2023
100,2010,"Talking Heads","2x9SpqnPi8rlE9pjHBwmSC",67,2321854,"alternative rock, art punk, dance rock, funk rock, new wave, permanent wave, post-punk, rock, zolo",51,49,2023
91,2010,"Tom Petty","2UZMlIwnkgAEDBsw1Rejkn",70,2427497,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",43,48,2023
49,2010,"Elton John","3PhoLpVuITZKcymswpck5b",83,12722160,"glam rock, mellow gold, piano rock, rock",4,45,2023
70,2010,"The Police","5NGO30tJxFlKixkPSgXcFE",75,5818844,"album rock, classic rock, permanent wave, rock",26,44,2023
90,2010,"Carlos Santana","6GI52t8N5F02MxU0g5U69P",69,3225619,"blues rock, classic rock, mexican classic rock",46,44,2023
56,2010,"Dr. Dre","6DPYiyq5kWVQS4RGwxzPC7",78,11012473,"g funk, gangster rap, hip hop, rap, west coast rap",17,39,2023
51,2010,"Pink Floyd","0k17h0D3J5VfsdmQ1iZtE9",78,19909658,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",14,37,2023
94,2010,"Nine Inch Nails","0X380XXQSNBYuleKzav5UO",64,2466533,"alternative metal, alternative rock, cyberpunk, electronic rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",60,34,2023
59,2010,"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH",74,13975850,"album rock, classic rock, hard rock, rock",28,31,2023
35,2010,"Michael Jackson","3fMbdgg4jU18AjLCKBhRSm",81,29671229,"r&b, soul",6,29,2023
84,2010,"James Taylor","0vn7UBvSQECKJm2817Yf1P",66,2512735,"classic rock, folk, folk rock, heartland rock, mellow gold, singer-songwriter, soft rock",55,29,2023
77,2010,"Beastie Boys","03r4iKL2g2442PT9n2UKsx",67,2686812,"alternative rock, east coast hip hop, golden age hip hop, hip hop, old school hip hop, rap, rap rock, rock",50,27,2023
36,2010,"Madonna","6tbjWDEIzxoDsBA1FuhfPW",79,7429935,"dance pop, pop",12,24,2023
98,2010,"Curtis Mayfield","2AV6XDIs32ofIJhkkDevjm",57,1072337,"chicago soul, classic soul, funk, soul",74,24,2023
30,2010,"Nirvana","6olE6TJLqED3rqDCT0FyPh",80,18680331,"grunge, permanent wave, rock",9,21,2023
68,2010,"The Temptations","3RwQ26hR2tJtA8F9p2n7jG",67,2853625,"memphis soul, motown, soul",49,19,2023
63,2010,"Tina Turner","1zuJe6b1roixEKMOtyrEak",69,3867630,"soft rock",45,18,2023
39,2010,"David Bowie","0oSGxfWSnnOXhD2fKuz2Gy",76,10080084,"art rock, classic rock, glam rock, permanent wave, rock",23,16,2023
55,2010,"Eric Clapton","6PAt558ZEZl0DmdXlnjMgD",70,5649691,"album rock, blues rock, classic rock, electric blues, mellow gold, rock, singer-songwriter, soft rock",39,16,2023
81,2010,"The Drifters","1FqqOl9itIUpXr4jZPIVoT",63,508091,"adult standards, doo-wop, rock-and-roll, rockabilly, soul",65,16,2023
74,2010,"Hank Williams","2dyeCWctcFRt3Pha76ONgb",64,1576024,"country, country rock, outlaw country",61,13,2023
38,2010,"John Lennon","4x1nvY2FN8jxqAFA0DA02H",75,5806520,"classic rock, rock",27,11,2023
79,2010,"The Four Tops","7fIvjotigTGWqjIz6EP1i4",62,1093692,"classic soul, disco, motown, quiet storm, soul",68,11,2023
93,2010,"Booker T. and the MGs","2vDV0T8sxx2ENnKXds75e5",55,286663,"blues, classic soul, instrumental funk, instrumental soul, memphis soul, soul, southern soul",84,9,2023
66,2010,"Al Green","3dkbV4qihUeMsqN4vBGg93",65,1896030,"classic soul, funk, memphis soul, soul, soul blues, southern soul",58,8,2023
41,2010,"The Doors","22WZ7M8sxp5THdruNY3gXt",71,7602616,"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock",34,7,2023
42,2010,"Van Morrison","44NX2ffIYHr6D4n7RaZF7A",71,3048004,"classic rock, folk, folk rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",35,7,2023
65,2010,"The Kinks","1SQRv42e4PjEYfPhS0Tk9E",64,2510376,"album rock, art rock, british invasion, classic rock, folk rock, glam rock, protopunk, psychedelic rock, rock, singer-songwriter",59,6,2023
99,2010,"Carl Perkins","5hIClg6noTaCzMu2s5wp4f",44,173045,"rock-and-roll, rockabilly",97,2,2023
22,2010,"U2","51Blml2LZPmy7TTiAg47vQ",77,11808255,"irish rock, permanent wave, rock",21,1,2023
67,2010,"Cream","74oJ4qxwOZvX6oSsu1DGnw",62,2280776,"album rock, blues rock, british blues, classic rock, folk rock, hard rock, psychedelic rock, rock, singer-songwriter, supergroup",66,1,2023
40,2010,"Simon and Garfunkel","70cRZdQywnSFp9pnc2WTCE",70,4970618,"classic rock, folk, folk rock, melancholia, mellow gold, rock, soft rock",40,0,2023
96,2010,"Diana Ross and the Supremes","0rXI0q8Cahq6numvPlloaq",45,78950,"classic girl group, motown",96,0,2023
23,2010,"Bruce Springsteen","3eqjTLE0HfPfh78zjh6TqT",76,6026885,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",24,-1,2023
31,2010,"Johnny Cash","6kACVPfCOnqzgfEF5ryl0x",72,6097263,"arkansas country, outlaw country, rock",32,-1,2023
