"Spotify_ID","Rolling_Stones_Rank","RS_Rank_Year","Artist","Popularity","Followers","Genres","Spotify_Rank","Change_in_Rank","Spotify_Rank_Year","Valence","Speechiness","Danceability"
"09C0xjtosNAIXP36wTnWxd",25,2010,"Fats Domino",53,527772,"louisiana blues, motown, new orleans blues, piano blues, rock-and-roll, rockabilly",90,-65,2023,0.790693862275449,0.0515730538922156,0.535467065868263
"0rXI0q8Cahq6numvPlloaq",96,2010,"Diana Ross and the Supremes",45,78950,"classic girl group, motown",96,0,2023,0.607334951456311,0.129830097087379,0.523106796116505
"1eYhYunlNJlDoQhtYBvPsi",10,2010,"Ray Charles",67,2163392,"classic soul, jazz blues, piano blues, soul, soul blues, vocal jazz",52,-42,2023,0.554246003401361,0.0755007653061224,0.525961734693878
"1nJvji2KIlWSseXRSlNYsC",19,2010,"The Velvet Underground",62,1841163,"alternative rock, melancholia, permanent wave, protopunk, rock",67,-48,2023,0.512033333333333,0.0519108974358974,0.464388461538462
"1ZwdS5xdxEREPySFridCfh",86,2010,"Tupac Shakur",78,16959142,"g funk, gangster rap, hip hop, rap, west coast rap",15,71,2023,0.589227247191011,0.223498314606742,0.750176966292135
"2bmixwMZXlkl2sbIbOfviq",20,2010,"Bo Diddley",45,309062,"acoustic blues, blues, chicago blues, electric blues, rock-and-roll, rockabilly, traditional blues",95,-75,2023,0.703275280898876,0.0590084269662921,0.634073033707865
"2zyz0VJqrDXeFDIyrfVXSo",24,2010,"Jerry Lee Lewis",56,868721,"piano rock, rock-and-roll, rockabilly",79,-55,2023,0.716698162014976,0.0547468345813479,0.521253914227366
"3eqjTLE0HfPfh78zjh6TqT",23,2010,"Bruce Springsteen",76,6026885,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",24,-1,2023,0.476216372202591,0.0765360424028269,0.43010011778563
"3IYUhFvPQItj6xySrBmZkd",82,2010,"Creedence Clearwater Revival",78,6277737,"album rock, classic rock, country rock, rock, southern rock, swamp rock",19,63,2023,0.67953961352657,0.0568227053140097,0.540512077294686
"3nFkdlSjzX9mRTtwJOzDYB",88,2010,"Jay-Z",82,8800017,"east coast hip hop, gangster rap, hip hop, pop rap, rap",5,83,2023,0.580382738095238,0.34760625,0.682827380952381
